#co2, lat, lon, sst, sst-ave, sss, mld, chl, year, month
360.521, -60.5, -30.5, 1.62, 1.08702, 33.7396, 44.4, 0, 2014, 1
344.778, -59.5, -48.5, 2.74, 1.01689, 33.9502, 39.1, 0, 2014, 1
342.605, -59.5, -47.5, 2.76, 1.04955, 33.9434, 39.5, 0, 2014, 1
322.948, -59.5, -46.5, 2.76, 1.06548, 33.9289, 39.9, 0, 2014, 1
317.573, -59.5, -45.5, 2.73, 1.05721, 33.8518, 40.5, 0, 2014, 1
317.421, -59.5, -44.5, 2.71, 1.06715, 33.8248, 41.3, 0, 2014, 1
328.849, -59.5, -43.5, 2.78, 1.17923, 33.809, 42.3, 0, 2014, 1
310.074, -59.5, -42.5, 2.73, 1.15343, 33.7981, 43.5, 0, 2014, 1
305.004, -59.5, -41.5, 2.68, 1.09958, 33.7911, 44.8, 0, 2014, 1
310.336, -59.5, -40.5, 2.68, 1.04939, 33.7858, 46, 0, 2014, 1
313.873, -59.5, -39.5, 2.75, 0.988397, 33.7829, 47, 0, 2014, 1
315.138, -59.5, -38.5, 2.76, 0.957596, 33.7803, 47.4, 0, 2014, 1
305.074, -59.5, -37.5, 2.71, 0.939712, 33.7827, 47.3, 0, 2014, 1
311.915, -59.5, -36.5, 2.6, 0.928237, 33.7891, 46.6, 0, 2014, 1
329.104, -59.5, -35.5, 2.41, 0.90814, 33.7964, 45.7, 0, 2014, 1
318.227, -59.5, -34.5, 2.18, 0.847628, 33.8, 44.9, 0, 2014, 1
344.287, -59.5, -33.5, 1.93, 0.765833, 33.7989, 44.5, 0, 2014, 1
356.046, -59.5, -32.5, 1.69, 0.711058, 33.794, 44.5, 0, 2014, 1
361.733, -59.5, -31.5, 1.58, 0.840192, 33.7851, 45.3, 0, 2014, 1
343.23, -59.5, -30.5, 1.51, 0.853205, 33.7726, 46.6, 0, 2014, 1
311.041, -58.5, -44.5, 3.36, 1.17962, 33.8436, 42.4, 0, 2014, 1
